,Name,Length,Like,View
0,Watch Sky News live,0,17026,15795196
1,Breaking News | నటుడు మోహన్ బాబు కి ఏడాది జైలు శిక్ష | ABN Telugu,163,8449,633614
2,Trump gives fiery speech at Republican committee dinner,5488,8965,278179
3,CNBC Awaaz Live TV | CNBC Awaaz Hindi | Business News In Hindi Live,85700,323,94649
4,CM KCR Public Meeting In Warangal | TRS Election Campaign | V6 News,16396,498,82090
5,Pawan Kalyan Jana Sena Public Meeting In LB Stadium | Pawan-Mayawati Campaign | V6 News,7464,229,12789
6,NDTV 24x7 - Watch LIVE | Lok Sabha Election 2019 Latest Updates | LIVE English News,0,42908,15526673
7,SAMAA NEWS LIVE,53870,1072,320200
8,RBI Credit Policy| CNBC Awaaz Live TV| Business News In Hindi Live,85190,349,119145
9,News18 Kerala Live | Breaking News | Elections With News18,0,1052,711400
10,Asianet News Live TV | Malayalam Live TV News | Watch latest Malayalam news updates,0,33102,28679848
11,DW News Livestream | Latest news and breaking stories,0,3761,1069767
12,"Trump leads prison reform summit, celebrates First Step Act",2312,2141,55861
13,SAMAA NEWS LIVE,69616,2589,921974
14,V6 Telugu Live News Channel | V6 Live TV | V6 News Live,0,7763,5025115
15,🔴 News7 Tamil LIVE | Live Tamil News | Election Breaking | நேரலை | ADMK | DMK | Election News | Now,1140212,2067,1882502
16,MediaOne Malayalam Live Stream I Latest Malayalam Live News | Breaking News | മീഡിയവൺ ലെെവ്,0,8343,9058058
17,DD NEWS LIVE 24x7,0,4430,768001
18,ARY NEWS LIVE,188723,154938,50035260
19,News18 Kerala Live | Latest Malayalam Live News | Breaking News | Election With News18,40135,175,117171
20,ABN Telugu LIVE | Telugu News Channel LIVE | ABN LIVE,0,14973,17169958
21,ABP Majha LIVE TV | Live News Update,415760,3230,1708586
22,"MATHRUBHUMI NEWS LIVE TV - KERALA, MALAYALAM NEWS | മാതൃഭൂമി ന്യൂസ്‌ ലൈവ്",0,4967,8477604
23,"Watch Live: NBC News, MSNBC participate in Politicon",26820,399,73172
24,"[CNA 24/7 LIVE] Breaking news, top stories and documentaries",0,1674,470008
25,योगी आदित्यनाथ की रैली LIVE | News Tak,227,198,6034
26,Channels Television Live,0,7977,5704061
27,"कांग्रेस का खुला पिटारा, नौजवान-किसान का सहारा! देखिए Halla Bol Anjana Om Kashyap के साथ",2603,1903,296469
28,CNN NEWS18 Live TV | Race For Lok Sabha Elections 2019 LIVE Updates,8198,1300,745038
29,[LIVE] Donald Trump addresses the American press at news conf.,483,388,70310
30,Breaking News Fire breaks out at chemical factory in Jodhpur,74,225,20332
31,Zee News live from Jhunki Ghat in Ayodhya,1988,2190,354273
32,"Breaking News | Bharat Ne Maan Liya, Bharti Pilot Pakistan ki Hirasat Mein",194,31602,8979501
33,AP24x7 LIVE || AP Elections 2019 LIVE Updates || AP Politics LIVE Updates || AP24x7 Telugu News LIVE,0,7556,9624595
34,Live at 12 News – 2019.04.02,431,203,18762
35,Samaa tv live | News | Live Stream,42901,920,499442
36,"3 स्टेट में हारी BJP, मोदी को PM चुनेगी वहां की जनता? | Political Stock Exchange",2688,3274,673177
37,WATCH LIVE: Election Day 2018 Coverage and Results,34203,13891,3228699
38,"यूपी की सभी 80 सीटों का सर्वे, देखिए LIVE अभी | ABP News Hindi",1525,13404,3290617
39,"आज सुबह की ताजा खबरें | Nonstop 100 | March 30, 2019",844,2713,218672
40,NDTV India - Watch LIVE | Lok Sabha Election 2019 Latest Updates | LIVE Hindi News | हिंदी समाचार,0,106538,24934957
41,"आज शाम की ताजा खबरें  | Nonstop 100 | March 30, 2019",727,1265,101020
42,Live at 12 News – 2019.04.01,686,188,18152
43,"आज सुबह की सबसे बड़ी ख़बरें | Nonstop 100 | March 29, 2019",768,1584,137951
44,Live at 7 News – 2019.04.03,1539,227,21089
45,News18 Lokmat Live | Marathi News Live | Loksabha Election 2019,1486372,2017,1719824
46,Mahaa News Live || Mahaa Telugu News || Mahaa News Exclusive || Mahaa News,0,4587,3242266
47,#LokSabhaElections2019: राजस्थान की 25 सीटों का सर्वे LIVE | ABP News Hindi,916,1113,131606
48,Indian pilot released LIVE | Pakistan border during Kashmir crisis,19852,1844,940295
49,"आज सुबह की ताजा खबरें | Shatak Aaj Tak | March 29, 2019",856,1738,152433
50,28 मार्च को कांग्रेस का हाथ थामेंगे Shatrughan Sinha | Breaking News,311,392,57606
51,"आज सुबह की सबसे बड़ी ख़बरें | Nonstop 100 | March 28, 2019",697,2505,176864
