Comments,Profine_words,No_words_per_comment,No_filtered_words,Is_profine,Avg_profine_per_comment,Avg_profine_per_filter_comment,No_profane_words
Cheating is one thing but beating their system completely different,,10,5,0,0,0.0,0
"The Whammy guy didnt cheat
He beat the system",beat,8,7,1,0.125,0.14285714285714285,1
first guy is a cheater the 2nd two were totally brilliant,,11,5,0,0,0.0,0
Theres probably tons of other cheaters that know how to be cheaters and arent caught,,15,5,0,0,0.0,0
The second guy isnt really a cheater he is just smart,,11,6,0,0,0.0,0
Love is just a game show And my girlfriend was the biggest cheater of them all *cough*,,17,7,0,0,0.0,0
"Michael comes back from the christmas party
_sees robber_
SSSSTTTTTAAAAAAAHHHHPPPP",,8,4,0,0,0.0,0
Casino Even though youre not pulling cards out of your sleeves or paying off the dealer or using a spotter and an earpiece counting cards is cheating AND illegal Now if youll excuse us we need to go pump pure oxygen into the room to make you gamble more and comp you with free drinks all night to get you drunk then watch you drive away drunkand broke I have ZERO sympathy for any casino that gets cheatedZEEEEEEEERO,,78,36,0,0,0.0,0
they should make a video about  How we started Good Mythical Morning,,13,7,0,0,0.0,0
Idk why but I love this episode of GMM,,9,5,0,0,0.0,0
The most amazing game show cheaters are the ones that arent caught,,12,5,0,0,0.0,0
Did anyone else notice the Rhett and link bobble heads in the background,,13,7,0,0,0.0,0
Michael Larson had only about 50000 stolen  He had already checked the serial numbers on part of the money and had redeposited in his bank,,26,12,0,0,0.0,0
The thing that actually happened for the price is right scene was that Terrys wife was sitting next to a guy who knew all the prices and he told her that was how much the showcase was then she told her husband Theres a whole documentary on Hulu about it,,50,18,0,0,0.0,0
STAAAAHP,,1,1,0,0,0.0,0
Regarding guessing the exact amount of the showcase showdown if you knew the correct amount and wanted to get away with cheating you wouldnt guess the exact amount,,28,14,0,0,0.0,0
You forgot when that kid cheated on fortine Oh not video games,,12,8,0,0,0.0,0
only one of those were cheating,,6,1,0,0,0.0,0
The second one wasnt technical cheating he just knows,,9,4,0,0,0.0,0
"I MISSED SO MANY SEASONS 
gotta go binge watch",,9,8,0,0,0.0,0
"*man hit the thousand*
Celebration Day
*shakes like theres no end*",,9,5,0,0,0.0,0
When I was watching Price is right I noticed they repeated prizes  When you watch every day you learn the prices  Not cheating  Laziness on the part of producers,day,32,20,1,0.03125,0.05,1
There is a huge difference between CHEATING and BEATING THE SYSTEM,,11,7,0,0,0.0,0
"a 12 minute video and only 1 actual cheater
buh",,9,6,0,0,0.0,0
Busted will have to inform the authorities Drats foiled again,,10,6,0,0,0.0,0
Everyone whos so keen on pointing out that the last two werent cheaters that exactly what they say in the video you dont need to keep telling us,,28,8,0,0,0.0,0
Terrys wife was getting answers from anither member of the audience who had made a pc game with algorithms to learn the patterns and prices of the game He had been learning them since he was a kid He had helped a bunch of ppl win Sadly he only got picked to play once out of like 50 trips The game he got wasnt great and he lost the wheel spin round so he didnt get a chsnce to go far Being that for most of the time the show has ran you could only be picked once per lifetime,,100,39,0,0,0.0,0
Terry Kniess lied He got his answer from a certain someone in the audience  Ted Slauson,,17,9,0,0,0.0,0
"only one of these actually cheated
everyone else did their homework",,10,2,0,0,0.0,0
That first woman shouldve been the contestant,,7,4,0,0,0.0,0
I have the EXACT same electric guitar you have in the background,,12,5,0,0,0.0,0
These werent all cheaters some just beat the system in place honestly,beat,12,6,1,0.08333333333333333,0.16666666666666666,1
Im amazed it took until 2008 for someone to get caught remembering the prices on Price is Right I remember figuring that out when I was 11 or 12 lol,,30,15,0,0,0.0,0
0355 That is the most British phone call ever ,,10,6,0,0,0.0,0
845 I threw my phone across my bed,,8,5,0,0,0.0,0
W H A M M Y,,6,6,0,0,0.0,0
I love how Rhetts are has not changed for years but links hair has,,14,7,0,0,0.0,0
Lets talk about that *guilty of something* *HMMMMMMMM*,,8,5,0,0,0.0,0
*Cough*,,1,1,0,0,0.0,0
these guys are my favorite,,5,2,0,0,0.0,0
Drew Carrey faced a lot of flack for his poor response to the win No emotion at all and piss poor response,piss,22,13,1,0.045454545454545456,0.07692307692307693,1
Most of my family lives in Ohio,,7,4,0,0,0.0,0
STAAHP Cough cough,,3,3,0,0,0.0,0
Rewatching the very first GMM I ever saw,,8,3,0,0,0.0,0
The stop Person should be nicknamed Mr Stop,,8,5,0,0,0.0,0
Too much unnecessary yelling during the broadcast  dont need to be too exaggerated,,14,7,0,0,0.0,0
I cant even spot a cheating partner let alone someone cheating on a game show ,,16,8,0,0,0.0,0
"Making a convo outta memes in this episode
*cough* *cough* *cough*
STAAAAAHP
*cough cough*
i said STAAAAAAAAAHP",,13,9,0,0,0.0,0
My teacher said its greater prophesy than cheating,,8,5,0,0,0.0,0
It would work if his wife and the man was actually sick which would make it less noticeable,,18,6,0,0,0.0,0
whassup with good mythical moore,,5,4,0,0,0.0,0
